accuracy,loss,val_accuracy,val_loss,learning_rate
0.8954629898071289,0.36032581329345703,0.9613333344459534,0.13155610859394073,0.0010000000474974513
0.9599629640579224,0.13229790329933167,0.9756666421890259,0.08560194820165634,0.0010000000474974513
0.9735184907913208,0.08701561391353607,0.9806666374206543,0.06810836493968964,0.0010000000474974513
0.9807222485542297,0.06403297185897827,0.9828333258628845,0.06129763647913933,0.0010000000474974513
0.9853333234786987,0.04967875778675079,0.9821666479110718,0.05902930721640587,0.0010000000474974513
0.9882592558860779,0.0393158458173275,0.9828333258628845,0.05773548781871796,0.0010000000474974513
0.9906111359596252,0.031229116022586823,0.9838333129882812,0.05658850446343422,0.0010000000474974513
0.9927963018417358,0.02513391152024269,0.9833333492279053,0.05520451441407204,0.0010000000474974513
0.9944629669189453,0.020399056375026703,0.9860000014305115,0.052952539175748825,0.0010000000474974513
0.9958333373069763,0.01638181507587433,0.984499990940094,0.05893584340810776,0.0010000000474974513
0.9967036843299866,0.013627960346639156,0.9851666688919067,0.06002236530184746,0.0010000000474974513
0.9965184926986694,0.0108591727912426,0.987333357334137,0.052737656980752945,0.0005000000237487257
0.9982777833938599,0.007078083697706461,0.9890000224113464,0.04994931071996689,0.0005000000237487257
0.9991666674613953,0.005056475754827261,0.9894999861717224,0.05081807076931,0.0005000000237487257
0.9995370507240295,0.003926189616322517,0.9890000224113464,0.0516347773373127,0.0005000000237487257
